ticker,month,open,high,low,close,volume,vwap
AMZN,2010-07,5.445,6.244,5.29,5.8945,3506524000,5.8945
AMZN,2010-08,6.153,6.5405,5.8785,6.2415,2268396000,6.2415
AMZN,2010-09,6.6085,8.089,6.3085,7.853,2686420000,7.853
AMZN,2010-10,7.854,8.5995,7.57,8.2615,2857670000,8.2615
AMZN,2010-11,8.258,9.092,7.8385,8.77,2620228000,8.77
AMZN,2010-12,8.714,9.2825,8.6545,9.0,1873234000,9.0
AMZN,2011-01,9.0685,9.58,8.345,8.482,2272226000,8.482
AMZN,2011-02,8.526,9.57,8.4755,8.6645,1915528000,8.6645
AMZN,2011-03,8.6855,9.0785,8.0295,9.0065,2379582000,9.0065
AMZN,2011-04,9.079,9.89,8.7685,9.7905,2334988000,9.7905
AMZN,2011-05,10.027,10.3195,9.544,9.8345,2125490000,9.8345
AMZN,2011-06,9.5615,10.3125,9.0795,10.2245,1911274000,10.2245
AMZN,2011-07,10.2775,11.36,10.1805,11.126,1856170000,11.126
AMZN,2011-08,11.016,11.3725,8.855,10.7615,3103894000,10.7615
AMZN,2011-09,10.447,12.2,10.2235,10.8115,2872466000,10.8115
AMZN,2011-10,11.85,12.3355,9.8255,10.6755,3184288000,10.6755
AMZN,2011-11,10.9,11.1175,9.0755,9.6145,2731762000,9.6145
AMZN,2011-12,8.668,9.983,8.3485,8.693,2511904000,8.693
AMZN,2012-01,8.7945,9.825,8.675,9.722,2210738000,9.722
AMZN,2012-02,8.6905,9.6785,8.6,8.9845,2931608000,8.9845
AMZN,2012-03,8.934,10.4925,8.829,10.1255,2259502000,10.1255
AMZN,2012-04,9.912,11.692,9.1825,11.595,2210708000,11.595
AMZN,2012-05,11.25,11.6485,10.3555,10.6455,1855486000,10.6455
AMZN,2012-06,10.422,11.4175,10.3185,11.4175,1314912000,11.4175
AMZN,2012-07,11.465,12.037,10.6305,11.665,1546804000,11.665
AMZN,2012-08,11.707,12.5,11.433,12.4135,1203848000,12.4135
AMZN,2012-09,12.4115,13.2055,12.233,12.716,1271410000,12.716
AMZN,2012-10,12.2435,13.095,11.146,11.6445,1631370000,11.6445
AMZN,2012-11,11.0655,12.6325,10.909,12.6025,1344272000,12.6025
AMZN,2012-12,12.2925,13.1555,12.1375,12.5165,1217424000,12.5165
